Type,job_title,job_area,salary-bot,salary-top,year,education,company_title,company_info,skill,publis_name,welfare,job_url
网络工程师,网络工程师,桂林,4333,8666,3-5,大专,百事泰,计算机服务不需要融资20-99人,网络运维 IT技术支持 网络交换技术 网络工程师证,游先生技术总监,定期体检,https://www.zhipin.com/job_detail/30afc6fea3e629250Xx_2NW9EFI~.html
网络工程师,网络工程师,杭州·西湖区·转塘,11000,18000,3-5,本科,煜象科技,计算机软件未融资500-999人,运维通信资格证书 CCNP证书 Windows 网络规划设计,何女士招聘专员,节日福利，带薪年假，补充医疗保险，工龄带薪年假，定期体检，司龄福利假，零食下午茶，年终奖，五险一金，高温补贴,https://www.zhipin.com/job_detail/11b4b2414bea12f51nJy2965FlpQ.html
网络工程师,网络工程师,天津·河东区·向阳楼,4333,8666,经验不限,大专,天津凯丰,通信/网络设备不需要融资0-20人,网络运维 运维工程师 IT技术支持 网络工程师证,王先生市场总监,五险一金,https://www.zhipin.com/job_detail/3a3337fa3defcc1d0Xxy2NW5FlM~.html
网络工程师,网络工程师,乌鲁木齐·水磨沟区·南湖路,4333,5416,1-3,大专,赢敬电子,互联网不需要融资20-99人,交换机配置 路由器配置,李女士HR,交通补助，餐补，员工旅游，带薪年假，节日福利，通讯补贴，加班补助，年终奖，五险一金,https://www.zhipin.com/job_detail/95a5cb3924802f171XR_29S5GVFV.html
网络工程师,网络工程师,北京·海淀区·圆明园,8000,16000,经验不限,学历不限,珀特否,互联网不需要融资20-99人,数据库 运维 IT支持,王先生招聘者, ,https://www.zhipin.com/job_detail/bed264566a503a411XR_2tu7ElA~.html
网络工程师,网络工程师,兰州·城关区·段家滩,4333,9750,经验不限,本科,华科科技,计算机软件未融资20-99人,系统运维 安全运维 网络运维 IT技术支持 网络协议,张女士人事主管,节日福利，五险一金，带薪年假，补充医疗保险，加班补助，股票期权，包吃，员工旅游，交通补助，定期体检，年终奖，贡献积分，全勤奖，餐补，通讯补贴,https://www.zhipin.com/job_detail/086152d1485e781c03x53tq4ElQ~.html
网络工程师,网络工程师,重庆·渝北区·空港广场,5000,7000,经验不限,本科,纬创资通(重庆),通信/网络设备已上市1000-9999人,CCNP证书 Linux Windows 网络工程师证,胡先生副理,定期体检，加班补助，住房补贴，带薪年假，孕妈妈关爱，丰富员工活动，五险一金，员工旅游，丰富培训，新春团拜会，年终奖，节日福利,https://www.zhipin.com/job_detail/8ecd45baf154c8f01nZ6092_EFVQ.html
网络工程师,网络工程师,佛山·顺德区·容桂,7000,12000,经验不限,大专,金蚂蚁,计算机服务未融资0-20人,故障处理 交换机配置 路由器配置 负载均衡,陈女士总经理助理,交通补助，零食下午茶，带薪年假，员工旅游，餐补，年终奖，五险一金，节日福利，通讯补贴,https://www.zhipin.com/job_detail/70de388d82a59ac71XR-0tq9FVBR.html
网络工程师,网络工程师,北京,6000,10000,5-10,大专,航天星桥,工程施工未融资100-499人,网络运维 安全运维 运维工程师,牛女士人事行政部经理,定期体检，节日福利，五险一金，工作居住证，带薪年假，补充医疗保险,https://www.zhipin.com/job_detail/67e5d5168937d63433d72Nu5GVc~.html
网络工程师,网络工程师,盐城·盐都区·世纪大道,9000,12000,5-10,大专,今日信息,计算机软件未融资100-499人,运维通信资格证书 CCIE证书 网络工程师证 Linux,顾女士江苏区域总监,五险一金，补充医疗保险，员工旅游，节日福利，通讯补贴，零食下午茶，带薪年假，定期体检,https://www.zhipin.com/job_detail/702a66c6b1b1c9e91n1_2tu5E1VW.html
